traget_word	sentence_a	span_a_strat	sentence_b	span_b_strat	True_label	pre_label	predict_probs
冲击	大变革时期各种社会思潮的冲击,使他们的就业观既有着现代的一面,又有着传统的一面。	12	果然,萨拉斯的猛烈冲击,让对方守门员不得不在球门线内接球。	9	1	1	[4.044401521241525e-06, 0.9999959468841553]
包	西门里首期改造2.28万平方米土地,出让给香港一家公司,由公司包拆迁、安置、修建道路等配套设施,抵顶土地出让金。	31	政府对于下岗职工再就业,要积极采取措施,但不能包,也包不了。	23	1	1	[0.033484138548374176, 0.9665158987045288]
包	从1984年开始,汕头市即采取政府统建补贴出售住房的办法,改革了群众住房完全由政府统包统建的旧制度。	42	据新华社北京2月3日电(记者李光茹)《抓斗大王———包起帆创造发明历程》已由上海科学技术出版社出版发行,近日赢得首都企业界、出版界等方面专家的好评。	26	0	0	[1.0, 3.9329275741299616e-24]
冲击	当围堰受到巨大压力或不均衡的冲击时,防渗墙能顺应墙体的变化而不致断裂。	14	另外有的企业的产品保护措施不全面,漏洞较多,检测人员通过钻和冲击可以较容易地松开闭锁机构,打开柜门。	30	1	1	[0.001201223349198699, 0.9987987279891968]
运动	之所以有这样奇特的效果,因为这家电影院的座椅,用的是六自由度的运动平台。	31	为地震预报提供科学依据我国大范围布设地壳运动观测网	20	1	1	[1.0674878407439248e-14, 1.0]
钱	那人从皮包里掏出一个装着钱的纸口袋,悄悄地说:“这里没别人,你就收下吧。	12	王锐的父母见学校领导和老师拿出2000元钱,为女儿交了住院押金,办理了入院手续时,泪如雨下。	20	1	0	[0.998082160949707, 0.0019178221700713038]
冲击	违规经营使银行的账外贷款屡禁不止,既影响了资产质量,更冲击了经营效益。	27	王中才的《遥远女儿岛》以一个海岛女炮班从建国初期到改革开放几十年的风雨历程,表现了一群海岛女儿对国防建设的热恋和对美好生活的追求,展示了人们在社会大变革中心灵的震撼和情感的冲击,高扬了不屈不挠的奋发进取精神。	86	0	1	[0.024729575961828232, 0.9752703905105591]
分子	获得生命科学奖的沈善炯院士领导的分子遗传研究室因在研究固氮基因的分子生物学上的贡献而闻名于世。	16	他准备利用磁化技术,在磁力线交互切割运动中,使油分子活化,进入燃烧室后,易与氧分子结合、易于雾化,附壁后也易于蒸发,可以提高燃烧效率。	24	1	1	[5.410052895305116e-23, 1.0]
运动	我们中学生主要玩赛车类、运动类、射击类和智力型游戏,那种危险性较大的体育游戏和赌博或暴力成分较高的动作游戏一般是成人玩。	12	围棋是高智力运动,可以训练人的综合素质。	6	1	1	[2.8410828235791996e-05, 0.9999716281890869]
冲击	在现代社会,随着市场经济对人们的思想观念和生活方式的冲击,人的价值取向呈现多元化。	26	同印尼男队相比,人家的两对双打摆在那里就可以全取两分,三单只要冲击到一分就可。	31	1	1	[0.007271956652402878, 0.9927281141281128]
日子	到五六月份,新草才能长出,灾区人民在寒冷的日子里还要苦熬几个月。	21	他下令将他庞大的军力进行备案,于是上千人花了上千个日子将一兵一卒,一车一马,一矛一戈,甚至士兵腰间的一个佩环都登记入册,每个士兵的胡子、眼睛、着装、军衔、年龄;每匹战马的形态、颜色包括一条尾巴都细致入微地描绘出来,凡军队所需的一切无一遗漏地注册收入一部“巨著”。	25	0	1	[7.464859177940909e-18, 1.0]
老	李瑞环说,中老两国山水相连、道路相通、习俗相近,两国人民有着悠久的传统友谊。	6	曾庆红说,现在,中老两党、两国人民都在进行社会主义建设,双方有许多可以相互学习和借鉴的经验,希望今后进一步加强交往,推动两国经贸合作关系的发展,把两党、两国关系提高到一个新水平。	9	1	1	[0.0037889620289206505, 0.996211051940918]
包	他说,这次沙特阿拉伯队共来57人,包了第三、四层,不让外人上,餐厅正常对外营业。	17	那天单位专门给她包了一辆出租车,并派专人护送,防止她不慎摔倒,因为她身上的骨骼已经不起哪怕是轻轻的一绊。	8	1	0	[1.0, 3.054765329579823e-08]
研究	他强调,应该在统一战线的内部,提倡发表各种不同的意见,彼此讨论、研究、切磋,以求得更好的认识,求得更符合于真理,不断推动我们的事业前进。	32	国外最近的一项研究表明,与同行业兼并相比,对其他行业、特别是无关联行业的企业进行兼并,成功率很低。	7	0	1	[0.4846118688583374, 0.5153881311416626]
包	笔者了解到,小葛娟的学杂费已由葛营小学包了下来。	19	陈长禄包西村脱贫致富以来,村容变了,乡亲们的观念新了。	3	1	1	[0.0005131717771291733, 0.9994868040084839]
路	仅距我们四五车之遥,一辆轿车撞坏护栏后翻在路中,周围汽油味扑鼻。	21	由沪嘉联合投资的嘉兴中环南路首期工程通车。	13	0	1	[5.981572459567985e-10, 1.0]
日子	到五六月份,新草才能长出,灾区人民在寒冷的日子里还要苦熬几个月。	21	如同我一生都在咀嚼塞北风沙的日子,一天又一天,我觉得胃渐渐饱满充实。	14	1	1	[0.0006635929457843304, 0.9993364214897156]
包	而据我了解,该商场日销售额达20余万元,可见客流量之大,但每班负责存包的只有两人,且我存包时只有一人在场,忙于应付拥挤的顾客,这样的状况,很难保证不出差错。	34	“老西藏”们回忆起当年乘飞机进藏时大包小包携带蔬菜的情景,不由得感慨万千。	18	1	0	[1.0, 1.6953021159340612e-18]
地方	当你亲眼看到了猎豹追赶斑马、狮子撕裂羚羊、红鹤与冠鸡相争,鹈鹕与火烈鸟并飞的时候,你就会感叹这里确是动物界相依相克、强者为王的地方。	63	要合理划分中央和地方的事权和财权,明确中央和地方的收支范围,根据公平的原则,逐步健全和完善财政转移支付制度,加大支持中西部地区和少数民族地区的力度;进一步完善税制,充分发挥税收的调控作用,逐步解决收入悬殊、分配不公的问题。	8	0	1	[2.2803857004880532e-15, 1.0]
日子	一只幼小的白鹤会记住去年重阳节这个吉祥日子的特殊意义:这一天体力不支的它降落秦皇岛海滨森林,接受了最精心的救治和护理,成为秦皇岛野生动物园近年抢救的第115只大型珍禽。	19	今年春节后,北图受新闻媒介的推动,宣布“全年候”开馆服务,原来闭馆的周六,顿时成为一周中来馆读者最多的日子。	51	1	1	[2.241220718127851e-14, 1.0]
运动	我们是从为振兴中华而奋斗的历史接力运动的意义上来讲这种继承的,是从完成孙中山没有完成的民主革命并把它发展成为社会主义革命和社会主义现代化建设的意义上来讲这种继承的。	17	此时,健康人群也会出现明显症状,运动耐受力降低,可能会提前出现某些疾病,应避免户外活动。	16	1	1	[0.0018515534466132522, 0.9981484413146973]
包	采用包投资、包质量、包效益的形式,促其“瓜分”准噶尔盆地13万平方公里的勘探面积。	2	世界上没有包医百病的药方,也没有能够回答、解决现实生活中全部问题的理论。	5	1	1	[7.22700548294597e-08, 0.9999998807907104]
活动	京沪元旦登高活动别具一格万人奋勇争先电视双向传送	6	彭真同志的革命实践活动再次告诉我们一个真理:唯物辩证法威力无穷,永远是所向披靡的。	9	1	0	[1.0, 3.698251167676606e-25]
运动	国家体委篮球运动管理中心主任、中国篮球协会常务副主席信兰成当选第一副主席。	6	他联系时代的特征深入思考20世纪社会主义运动的经验教训,明确指出社会主义的根本任务是发展生产力,在发展生产力的基础上体现出优于资本主义,为实现共产主义创造物质基础。	20	0	1	[3.225962249067682e-13, 1.0]
运动	之所以有这样奇特的效果,因为这家电影院的座椅,用的是六自由度的运动平台。	31	他们认为,银河系只能是这种规模,恒星的很多运动情况才能得到解释,原先对银河系规模的估计可能偏大。	21	1	1	[6.809577780896608e-17, 1.0]
突出	它巧妙借鉴影视艺术的表演手法,强化灯光,简化布景,注重人物形象的刻画,突出人物之间的感情纠葛,在人物心灵的碰撞中加强打动人心的冲击力度。	35	突出重点从严查处新疆制止奢侈浪费动真格	0	1	1	[4.308339912584801e-14, 1.0]
分子	宋子文、宋美龄到西安,12月23日与周恩来、张学良、杨虎城谈判改组南京政府,排逐亲日派,加入抗日分子,宋子文提出驱除亲日分子名单,推荐孔祥熙任院长,宋子文为副院长,及各部部长。	48	按照恩格斯的说明,是因为那时“信奉各种空想学说的分子”和“各种各样的社会庸医们”都称为“社会主义者”。	24	1	1	[4.490142405702254e-15, 1.0]
运动	另一方面观测X—射线双星系统轨道运动的种种效应,又可以准确地确定每个子星的质量,果然在这一类天体中找到了一些质量超过3个太阳质量的致密天体,比如天鹅座的X—1源,就是这样一个黑洞的候选天体。	16	据专家分析,这种天气和80年代北京城风沙弥漫的天气状况不一样,风力不大,是冷空气运动造成的。	40	1	1	[1.9117130906496339e-28, 1.0]
突出	当前,首先要抓住当地最突出,群众反映最强烈,关联度最大的问题作为突破口开展工作,力争在一段时间内解决好一两个突出问题,以带动农村各项工作全面发展。	11	整顿中发现,目前专业市场中无证、伪劣的汽车农机配件、低压电器、家用电器和建材等商品问题仍很突出。	45	1	1	[0.15559709072113037, 0.8444029688835144]
路	丰润县去年完成旧城改造10万平方米(建筑面积),使县城路直了,街平了,楼高了,老百姓的生活环境改善了。	27	住在劳动北路任家村的老人王承华、聂永芳夫妇家里却情暖融融。	5	0	0	[1.0, 1.9663884236187368e-12]
日子	趣事二:常昊在获得“霸王”挑战权时感慨地说:“与王磊白天同场操戈,晚上同室相居,这样的日子不知怎么过?	43	一只幼小的白鹤会记住去年重阳节这个吉祥日子的特殊意义:这一天体力不支的它降落秦皇岛海滨森林,接受了最精心的救治和护理,成为秦皇岛野生动物园近年抢救的第115只大型珍禽。	19	0	0	[1.0, 2.5094708155601117e-20]
老	中老两党两国关系正常化以来,两国的睦邻友好关系得到全面发展,高层互访不断,各领域的友好合作取得了积极成果。	1	本书文章的作者都是冀中回民支队的老战士。	16	0	1	[7.937657642287377e-09, 1.0]
日子	大约是从1997年开始,不仅北京、张家口的居民不再受限电之苦,全国绝大多数地方的居民,也都有这样的感觉:点蜡的日子越来越少了。	55	抗日战争时期,在敌人长期“扫荡”的日子里,王平同志积劳成疾,长时间发高烧,头发、眉毛烧掉了,耳朵也烧聋了,但他仍坚持战斗在最前线,坐在担架上指挥部队作战。	17	1	1	[3.0265098303061677e-06, 0.9999970197677612]
运动	第四,邓小平指出改革是社会主义基本矛盾运动的必然要求,从而为改革开放奠定了深层的哲学基础;	19	日本在五六十年代就曾开展了消除坏书运动。	17	1	1	[8.119419021568319e-07, 0.9999991655349731]
日子	由于这些企业眼下的日子还不错,有些经营者缺乏高瞻远瞩的谋略,加之联合过程中不可避免的利益调整,使得企业联合的愿望不很强烈。	9	年轻的乡长赵志刚向朱运宽介绍说,三台山乡这些年来粮食年年丰收,通了电,通了水,日子越过越好,希望老知青们今后多回来走走看看,帮助发展。	39	1	1	[2.2899732357473113e-05, 0.9999771118164062]
穿	罪犯在监狱服刑期间的吃、穿、住、用等物质条件由政府予以保障。	12	“听说谁要是在这条街上乱扔东西,就要挨罚穿黄背心,是这样吗?	20	1	1	[0.027086885645985603, 0.9729131460189819]
起来	“让您站起来,让您走起来”,杨大夫对每一个中风偏瘫患者都充满希望。	4	当时斯大林正为中国代表团举行酒会,周恩来站起来提议:“为阿尔希波夫同志干杯!	21	1	1	[1.801065785400624e-08, 1.0]
材料	本报布宜诺斯艾利斯1月9日电记者兰才基报道:据阿根廷经济部门日前公布的材料,1997年阿根廷经济增长率近8%,居拉美各国之首,年通货膨胀率为0.5%,从而实现了高增长、低通胀目标。	35	但这个『耳听』,一不能『偏听偏信』,二不能听『小道消息』之类的风言风语,三不能听信采访对象提供的一兜一袋现成材料。	54	1	0	[1.0, 3.664459794633368e-12]
